provincias;grupo_edad;sexo;poblacion_total
48 Bizkaia;De 75 a 79 años  ;Mujeres;28.115
48 Bizkaia;De 80 a 84 años  ;Hombres;14.410
48 Bizkaia;De 80 a 84 años  ;Mujeres;22.714
48 Bizkaia;De 85 a 89 años  ;Hombres;10.916
48 Bizkaia;De 85 a 89 años  ;Mujeres;20.119
48 Bizkaia;90 y más años;Hombres;4.734
48 Bizkaia;90 y más años;Mujeres;12.927
09 Burgos;De 0 a 4 años;Hombres;5.781
09 Burgos;De 0 a 4 años;Mujeres;5.382
09 Burgos;De 5 a 9 años;Hombres;7.366
09 Burgos;De 5 a 9 años;Mujeres;6.759
09 Burgos;De 10 a 14 años  ;Hombres;7.980
09 Burgos;De 10 a 14 años  ;Mujeres;7.419
09 Burgos;De 15 a 19 años  ;Hombres;7.479
09 Burgos;De 15 a 19 años  ;Mujeres;7.051
09 Burgos;De 20 a 24 años;Hombres;7.096
09 Burgos;De 20 a 24 años;Mujeres;6.559
09 Burgos;De 25 a 29 años;Hombres;7.071
09 Burgos;De 25 a 29 años;Mujeres;6.300
09 Burgos;De 30 a 34 años;Hombres;7.809
09 Burgos;De 30 a 34 años;Mujeres;7.030
09 Burgos;De 35 a 39 años;Hombres;9.480
09 Burgos;De 35 a 39 años;Mujeres;8.677
09 Burgos;De 40 a 44 años;Hombres;12.264
09 Burgos;De 40 a 44 años;Mujeres;11.493
09 Burgos;De 45 a 49 años;Hombres;13.121
09 Burgos;De 45 a 49 años;Mujeres;12.355
09 Burgos;De 50 a 54 años;Hombres;13.408
09 Burgos;De 50 a 54 años;Mujeres;12.711
09 Burgos;De 55 a 59 años;Hombres;13.489
09 Burgos;De 55 a 59 años;Mujeres;12.994
09 Burgos;De 60 a 64 años;Hombres;12.878
09 Burgos;De 60 a 64 años;Mujeres;11.953
09 Burgos;De 65 a 69 años;Hombres;10.803
09 Burgos;De 65 a 69 años;Mujeres;10.063
09 Burgos;De 70 a 74 años  ;Hombres;9.351
09 Burgos;De 70 a 74 años  ;Mujeres;9.375
09 Burgos;De 75 a 79 años  ;Hombres;7.322
09 Burgos;De 75 a 79 años  ;Mujeres;8.096
09 Burgos;De 80 a 84 años  ;Hombres;4.949
09 Burgos;De 80 a 84 años  ;Mujeres;6.736
09 Burgos;De 85 a 89 años  ;Hombres;3.872
09 Burgos;De 85 a 89 años  ;Mujeres;6.493
09 Burgos;90 y más años;Hombres;2.161
09 Burgos;90 y más años;Mujeres;5.110
10 Cáceres;De 0 a 4 años;Hombres;6.530
10 Cáceres;De 0 a 4 años;Mujeres;6.247
10 Cáceres;De 5 a 9 años;Hombres;7.691
10 Cáceres;De 5 a 9 años;Mujeres;7.248
10 Cáceres;De 10 a 14 años  ;Hombres;9.032
10 Cáceres;De 10 a 14 años  ;Mujeres;8.476
